Genre,S_Lyric,Genre_Index
Country,more than twice You'd better have somethin' in your eyes I gave my baby all my money on payday except a little she don't know that I got Cause there's a cute little waitress at the corner cafe And she seems to like me quite a lot While we were sittin' in the back booth a havin' a talk She believed in every word that I said When the door blew open Loretta walked in yellin' loud enough to wake the dead Well has anybody here see sweet thang... You'd better take my advice...,0
Hip-Hop,"I'm the wrong one to play with I came to outwork you Your work ethic is too basic You know bad man no player Me, I'm the wrong one to play with I'm the wrong one to play with, ooh",1
Hip-Hop,"I got tats all on my arm, Racks on racks in the bank Forgiatos on my Range, Pepsi blue my paint All these girls be choosy, Can't find a bitch who ain't Haters they out ballin' like fishes in a tank Stuntin' wit my whole crew, ball Hangin' out the window when we roll up You know when we come through, ball Make it rain we don't give a fuck 'Bout what you say, I do this every day Don't buy bottles, buy bottle case Seem like every night my birthday I can't help but get the cake Feel like I was born for ballin' out Live it up and just for fallin' out What you say? I do this err'day, Wh-what you say? I do this err'day",1
Hip-Hop,"so why pass it) Hey yo, I ain't bringing they names up These niggas sound trash, straight fouling the game up Need to change up (change up) sound so trash When I see 'em feel like breaking they frame up Dupont registry, talking 'bout somebody else cars Motherfuckers better step up your bars Instead of frontin in the game like niggas really are stars Like we ain't seein through the bullshit, we know who you are I'm like a blessing to the game when your shit sound dated I force niggas to improve, you should be happy I made it Here to rep the game fully, change my style like the weather Giving you niggas new shit to make the game feel better I'm saying, I cook in",1
Electronic,"Battersea how it is It's over, forget Memories full of chocolate I've got to get over it, forget Your world is different than mine I've got to get over, I've got to forget And ""Sgurd"" is the one I don't like I'm afraid of him, I've got to forget Knocking on the blue water It's over, forget Praline and chocolate ice Got to get over, forget Your world doesn't match with mine I've got to get over, I've got to forget And ""Sgurd"" rules your friend's life I'm afraid of him, I've got to forget",2
Hip-Hop,the real hardcore yo i'm gonna show you difference from mines and yours i'm going for broke make the whole underground choke i'm in the east with my nigga smoke used to hustle bricks in reberknock now i'm on some musical shit plus i got caught a note niggaz want to vote for my squad i truly believe the black man is god my family is mixed when american in yard oh long yo yo this is my 10 40 this is for your moms your pops and your shorty on some ghetto shit nigga pass the 40's (baby sham) c;mon c'mon c'mon peep the six stars a point pushing luxury cars i'd be the open wound cat still spittin' mt balls i mean you all lyrically wild,1
Electronic,"My baby was born in a bed With white sheets, machines and heat Travelled home in a car To a three room nest, eats and sleeps Laminate floor to crawl on, t.v. Talks, starts to walk amongst love and security Goes to school, learns to read an write Probably follows a team with his friends And gets to ride the train Probably fall in love Probably get to fly on a plane Get to work all week and spend what he earns On the high street He's got doctors, nurses, fireman, churches Kindergartens, wedding bells and jet black hurses Passport, bank card, maybe his own yard Locks and alarms, trinkets and charms Maybe a baby in his arms. My baby was born on his knee, one of poverty's",2
Electronic,"The best things in life are free But you can keep them for the birds and bees Now give me money That's what I want That's what I want, yeah That's what I want You're lovin' gives me a thrill But you're lovin' don't pay my bills Now give me money That's what I want That's what I want, yeah That's what I want Money don't get everything it's true What it don't get, I can't use Now give me money That's what I want That's what I want, yeah That's what I want, wah Money don't get everything it's true What it don't get, I can't use Now give me money That's what I want That's what I want, yeah That's what I want",2
Country,"music and lyrics by Corb Lund I have sinned so gravely Brother Brigham, Brother Young I have sinned so gravely Brother Young That only you can save me Brother Brigham, Brother Young That only you can save me Brother Young I have revealed the temples secrets Brother Brigham, Brother Young The temple garments, oaths and secrets Brother Young I have apostatized and doubted Brother Brigham, Brother Young And borne my testimony falsely Brother Young And I have loved a woman Brother Brigham, Brother Young A woman in adultery Brother Young I have also wed a negress Brother Brigham, Brother Young My fifth wife has some color Brigham Young I now see that you're a prophet Brother Brigham, Brother Young A living, breathing prophet Brother Young And now I",0
Electronic,"in a trance And he never leaves the disco alone Arrogance but not conceit as a man he is complete My crÃÂ¨me de la crÃÂ¨me, please take me home He wears the finest clothes, the best designers, heaven knows Ooo, from his head down to his toes Halston, Gucci, Fiorucci, he looks like a still That man is dressed to kill Oh what, wow He's the greatest dancer Oh what, wow That I've ever seen (I've ever seen) Oh what, wow He's the greatest dancer Oh what, wow Oh what, wow He's the greatest dancer Oh what, wow That I've ever seen (I love your moves) Oh what, wow He's the greatest dancer Oh what, wow That I've ever seen Oh what, wow He's the greatest dancer Oh",2
